*0217*2011 VEGNETT*20110511*LAST*20110511*VDB SVNT*AHT
..Eksport-dato 20110511
"10"; "10"; "10"; 18.75; 50;

Komm; TransID;kode;Fra;   Til;felt;  So;  Vi; Tel; Len; Vekt;Skilting;
0217;145167814;1;0;44;1#2;8-32;8-32;8-32;12.40;32.0;Ingen;
0217;145167815;1;0;24;1#2;8-32;8-32;8-32;12.40;32.0;Ingen;
0217;145167816;1;0;128;1#2;8-32;8-32;8-32;12.40;32.0;Ingen;
0217;145172140;1;0;95;1#2;8-32;8-32;8-32;12.40;32.0;Ingen;
0217;145172141;1;0;47;1#2;8-32;8-32;8-32;12.40;32.0;Ingen;
0217;145172142;1;0;124;1#2;8-32;8-32;8-32;12.40;32.0;Ingen;
0217;268595572;1;0;4;1#2;8-32;8-32;;12.40;32.0;Ingen;
0217;268595573;1;0;23;1#2;8-32;8-32;;12.40;32.0;Ingen;
0217;268595574;1;0;35;1#2;8-32;8-32;;12.40;32.0;Ingen;
0217;268595575;1;0;16;1#2;8-32;8-32;;12.40;32.0;Ingen;
0217;145172144;1;0;67;1#2;8-32;8-32;8-32;12.40;32.0;Ingen;
0217;145172145;1;0;76;1#2;8-32;8-32;8-32;12.40;32.0;Ingen;
0217;145172146;1;0;4;1#2;8-32;8-32;8-32;12.40;32.0;Ingen;
0217;145172147;1;0;73;1#2;8-32;8-32;8-32;12.40;32.0;Ingen;
0217;145172148;1;0;195;1#2;8-32;8-32;8-32;12.40;32.0;Ingen;
0217;268595576;1;0;10;1#2;8-32;8-32;8-32;12.40;32.0;Ingen;
0217;268595577;1;0;139;1#2;8-32;8-32;8-32;12.40;32.0;Ingen;
0217;145172150;1;0;224;1#2;8-32;8-32;8-32;12.40;32.0;Ingen;
0217;145172152;1;0;53;1#2;10-50;10-50;;15.00;50.0;Ingen;
0217;145172153;1;0;364;1#2;10-50;10-50;;15.00;50.0;Ingen;
0217;145172154;1;0;66;1#2;10-50;10-50;;15.00;50.0;Ingen;
0217;145172155;1;0;43;1#2;10-50;10-50;;15.00;50.0;Ingen;
0217;145172156;1;0;103;1#2;10-50;10-50;;15.00;50.0;Ingen;
0217;145172157;1;0;87;1#2;10-50;10-50;8-32;15.00;50.0;Ingen;
0217;268595582;1;0;57;1#2;8-32;8-32;8-32;12.40;32.0;Ingen;
0217;268595583;1;0;134;1#2;8-32;8-32;8-32;12.40;32.0;Ingen;
0217;268595584;1;0;90;1#2;8-32;8-32;8-32;12.40;32.0;Ingen;
0217;145172160;1;0;244;1#2;8-32;8-32;8-32;12.40;32.0;Ingen;
0217;268004217;1;0;231;1#2;8-32;8-32;8-32;12.40;32.0;Ingen;
0217;268595585;1;0;5;1#2;8-32;8-32;8-32;12.40;32.0;Ingen;
0217;268595586;1;0;111;1#2;8-32;8-32;8-32;12.40;32.0;Ingen;
0217;145172162;1;0;185;1#2;8-32;8-32;8-32;12.40;32.0;Ingen;
0217;145172163;1;0;50;1#2;8-32;8-32;8-32;12.40;32.0;Ingen;
0217;268595587;1;0;78;1#2;8-32;8-32;8-32;12.40;32.0;Ingen;
0217;268595588;1;0;52;1#2;8-32;8-32;8-32;12.40;32.0;Ingen;
