*0441*2011 VEGNETT*20110511*LAST*20110511*VDB SVNT*AHT
..Eksport-dato 20110511
"10"; "10"; "10"; 18.75; 50;

Komm; TransID;kode;Fra;   Til;felt;  So;  Vi; Tel; Len; Vekt;Skilting;
0441;145313750;1;0;51;1#2;10-50;10-50;;19.50;50.0;Ingen;
0441;145327017;1;0;202;1#2;10-50;10-50;;19.50;50.0;Ingen;
0441;145327018;1;0;40;1#2;10-50;10-50;;19.50;50.0;Ingen;
0441;145327019;1;0;83;1#2;10-50;10-50;;19.50;50.0;Ingen;
0441;145327020;1;0;308;1#2;10-50;10-50;;19.50;50.0;Ingen;
0441;145327021;1;0;227;1#2;10-50;10-50;;19.50;50.0;Ingen;
0441;145327022;1;0;59;1#2;10-50;10-50;;19.50;50.0;Ingen;
0441;145327023;1;0;135;1#2;10-50;10-50;;19.50;50.0;Ingen;
0441;145327024;1;0;52;1#2;10-50;10-50;;19.50;50.0;Ingen;
0441;145327025;1;0;35;1#2;10-50;10-50;;19.50;50.0;Ingen;
0441;145327026;1;0;156;1#2;10-50;10-50;;19.50;50.0;Ingen;
0441;145327027;1;0;37;1#2;10-50;10-50;;19.50;50.0;Ingen;
0441;145327028;1;0;42;1#2;10-50;10-50;;19.50;50.0;Ingen;
0441;204431379;1;0;15;1#2;10-50;10-50;;19.50;50.0;Ingen;
0441;145327031;1;0;49;1#2;10-50;10-50;;19.50;50.0;Ingen;
0441;145327032;1;0;5;1#2;10-50;10-50;;19.50;50.0;Ingen;
0441;145327033;1;0;60;1#2;10-50;10-50;;19.50;50.0;Ingen;
0441;145327034;1;0;107;1#2;10-50;10-50;;19.50;50.0;Ingen;
0441;204431380;1;0;79;1#2;10-50;10-50;;19.50;50.0;Ingen;
0441;204431381;1;0;26;1#2;10-50;10-50;;19.50;50.0;Ingen;
0441;145327037;1;0;32;1#2;10-50;10-50;;19.50;50.0;Ingen;
0441;145327038;1;0;152;1#2;10-50;10-50;;19.50;50.0;Ingen;
0441;145327039;1;0;15;1#2;10-50;10-50;;19.50;50.0;Ingen;
0441;145327040;1;0;54;1#2;10-50;10-50;;19.50;50.0;Ingen;
0441;145327041;1;0;125;1#2;10-50;10-50;;19.50;50.0;Ingen;
0441;145327042;1;0;16;1#2;10-50;10-50;;19.50;50.0;Ingen;
0441;145327043;1;0;63;1#2;10-50;10-50;;19.50;50.0;Ingen;
0441;145327044;1;0;55;1#2;10-50;10-50;;19.50;50.0;Ingen;
0441;145327045;1;0;170;1#2;10-50;10-50;;19.50;50.0;Ingen;
0441;145327046;1;0;204;1#2;10-50;10-50;;19.50;50.0;Ingen;
0441;145327047;1;0;108;1#2;10-50;10-50;;19.50;50.0;Ingen;
0441;145327048;1;0;68;1#2;10-50;10-50;;19.50;50.0;Ingen;
0441;145327049;1;0;31;1#2;10-50;10-50;;19.50;50.0;Ingen;
0441;145327050;1;0;59;1#2;10-50;10-50;;19.50;50.0;Ingen;
0441;145327051;1;0;61;1#2;10-50;10-50;;19.50;50.0;Ingen;
0441;145327052;1;0;54;1#2;10-50;10-50;;19.50;50.0;Ingen;
0441;145327053;1;0;73;1#2;10-50;10-50;;19.50;50.0;Ingen;
0441;145327054;1;0;89;1#2;10-50;10-50;;19.50;50.0;Ingen;
0441;145327055;1;0;115;1#2;10-50;10-50;;19.50;50.0;Ingen;
0441;159614636;1;0;12;1#2;10-50;10-50;;19.50;50.0;Ingen;
0441;159614637;1;0;124;1#2;10-50;10-50;;19.50;50.0;Ingen;
0441;145327057;1;0;42;1#2;10-50;10-50;;19.50;50.0;Ingen;
0441;145327058;1;0;38;1#2;10-50;10-50;;19.50;50.0;Ingen;
0441;145327059;1;0;47;1#2;10-50;10-50;;19.50;50.0;Ingen;
0441;145327060;1;0;54;1#2;10-50;10-50;;19.50;50.0;Ingen;
0441;145327061;1;0;93;1#2;10-50;10-50;;19.50;50.0;Ingen;
0441;145327062;1;0;54;1#2;10-50;10-50;;19.50;50.0;Ingen;
0441;159614638;1;0;23;1#2;10-50;10-50;;19.50;50.0;Ingen;
0441;159614639;1;0;13;1#2;10-50;10-50;;19.50;50.0;Ingen;
0441;145327064;1;0;100;1#2;10-50;10-50;;19.50;50.0;Ingen;
0441;145327065;1;0;5;1#2;10-50;10-50;;19.50;50.0;Ingen;
0441;145327066;1;0;24;1#2;10-50;10-50;;19.50;50.0;Ingen;
0441;145327067;1;0;215;1#2;10-50;10-50;;19.50;50.0;Ingen;
0441;145327068;1;0;34;1#2;10-50;10-50;;19.50;50.0;Ingen;
0441;145327069;1;0;188;1#2;10-50;10-50;;19.50;50.0;Ingen;
0441;145327070;1;0;16;1#2;T8-50;10-50;;19.50;50.0;Ingen;
0441;145327071;1;0;5;1#2;T8-50;10-50;;19.50;50.0;Ingen;
0441;145327072;1;0;8;1#2;T8-50;10-50;;19.50;50.0;Ingen;
0441;145327073;1;0;18;1#2;T8-50;10-50;;19.50;50.0;Ingen;
0441;145327074;1;0;259;1#2;T8-50;10-50;;19.50;50.0;Ingen;
0441;145327075;1;0;118;1#2;10-50;10-50;;19.50;50.0;Ingen;
0441;145327076;1;0;221;1#2;10-50;10-50;;19.50;50.0;Ingen;
0441;145327077;1;0;152;1#2;10-50;10-50;;19.50;50.0;Ingen;
0441;145327078;1;0;230;1#2;10-50;10-50;;19.50;50.0;Ingen;
0441;145327079;1;0;442;1#2;10-50;10-50;;19.50;50.0;Ingen;
0441;145327080;1;0;47;1#2;10-50;10-50;;19.50;50.0;Ingen;
0441;145327081;1;0;656;1#2;10-50;10-50;;19.50;50.0;Ingen;
0441;145327082;1;0;183;1#2;10-50;10-50;;19.50;50.0;Ingen;
0441;145327083;1;0;1041;1#2;10-50;10-50;;19.50;50.0;Ingen;
0441;145327084;1;0;98;1#2;10-50;10-50;;19.50;50.0;Ingen;
0441;145327085;1;0;98;1#2;10-50;10-50;;19.50;50.0;Ingen;
0441;145327086;1;0;92;1#2;10-50;10-50;;19.50;50.0;Ingen;
0441;145327087;1;0;75;1#2;10-50;10-50;;19.50;50.0;Ingen;
0441;145327088;1;0;15;1#2;10-50;10-50;;19.50;50.0;Ingen;
0441;145327089;1;0;5;1#2;T8-40;T8-40;;19.50;40.0;Ingen;
0441;145327090;1;0;254;1#2;T8-40;T8-40;;19.50;40.0;Ingen;
0441;145327091;1;0;314;1#2;T8-40;T8-40;;19.50;40.0;Ingen;
0441;145327092;1;0;1017;1#2;T8-40;T8-40;;19.50;40.0;Ingen;
0441;145327093;1;0;15;1#2;T8-40;T8-40;;19.50;40.0;Ingen;
0441;145327094;1;0;433;1#2;T8-40;T8-40;;19.50;40.0;Ingen;
0441;159614640;1;0;6;1#2;10-50;10-50;;19.50;50.0;Ingen;
0441;159614641;1;0;76;1#2;10-50;10-50;;19.50;50.0;Ingen;
0441;145327096;1;0;87;1#2;10-50;10-50;;19.50;50.0;Ingen;
0441;145327097;1;0;17;1#2;10-50;10-50;;19.50;50.0;Ingen;
0441;145327098;1;0;35;1#2;10-50;10-50;;19.50;50.0;Ingen;
0441;145327099;1;0;94;1#2;10-50;10-50;;19.50;50.0;Ingen;
0441;145327100;1;0;328;1#2;10-50;10-50;;19.50;50.0;Ingen;
0441;145327101;1;0;406;1#2;10-50;10-50;;19.50;50.0;Ingen;
0441;145327102;1;0;735;1#2;10-50;10-50;;19.50;50.0;Ingen;
0441;145327103;1;0;1366;1#2;10-50;10-50;;19.50;50.0;Ingen;
0441;159614642;1;0;9;1#2;10-50;10-50;;19.50;50.0;Ingen;
0441;159614643;1;0;12;1#2;10-50;10-50;;19.50;50.0;Ingen;
0441;145327105;1;0;94;1#2;10-50;10-50;;19.50;50.0;Ingen;
0441;145327106;1;0;6;1#2;10-50;10-50;;19.50;50.0;Ingen;
0441;145327107;1;0;46;1#2;10-50;10-50;;19.50;50.0;Ingen;
0441;145327108;1;0;29;1#2;10-50;10-50;T8-40;19.50;50.0;Ingen;
0441;145327109;1;0;351;1#2;10-50;10-50;;19.50;50.0;Ingen;
0441;145327110;1;0;180;1#2;10-50;10-50;;19.50;50.0;Ingen;
0441;145327111;1;0;134;1#2;10-50;10-50;;19.50;50.0;Ingen;
0441;145327112;1;0;9;1#2;10-50;10-50;;19.50;50.0;Ingen;
0441;145327113;1;0;101;1#2;10-50;10-50;;19.50;50.0;Ingen;
0441;145327114;1;0;72;1#2;10-50;10-50;;19.50;50.0;Ingen;
0441;145327115;1;0;223;1#2;10-50;10-50;;19.50;50.0;Ingen;
0441;145327116;1;0;102;1#2;10-50;10-50;;19.50;50.0;Ingen;
